District,State,Agency_ID,Students,TOTALREV,TLOCREV,TSTREV,TFEDREV,TOTALEXP,TOTALREV_PUPIL,TLOCREV_PUPIL,TSTREV_PUPIL,TFEDREV_PUPIL
SAN MARCOS UNIFIED,California,634880,20813,254235000,99170000,140509000,14556000,260866000,12215,4765,6751,699
HARNETT COUNTY SCHOOLS,North Carolina,3702010,20690,166904000,28441000,117145000,21318000,172870000,8067,1375,5662,1030
OSSEO PUBLIC SCHOOL DISTRICT,Minnesota,2725200,20662,319653000,106368000,198911000,14374000,310541000,15471,5148,9627,696
HAMPTON CITY PBLC SCHS,Virginia,5101800,20618,226115000,82323000,121802000,21990000,229676000,10967,3993,5908,1067
FALCON SCHOOL DISTRICT NO. 49 IN THE COUNTY OF EL PASO AND,Colorado,803870,20561,197754000,48783000,140775000,8196000,160929000,9618,2373,6847,399
MADERA UNIFIED,California,623340,20530,263218000,40188000,197262000,25768000,230874000,12821,1958,9608,1255
BOONE COUNTY,Kentucky,2100510,20523,222124000,112148000,97386000,12590000,207956000,10823,5465,4745,613
SOUTH BEND COMMUNITY SCHOOL CORP,Indiana,1810290,20430,280246000,84420000,153566000,42260000,231276000,13717,4132,7517,2069
ROCKWOOD R-VI,Missouri,2926850,20359,285508000,241058000,39569000,4881000,280557000,14024,11840,1944,240
PAJARO VALLEY UNIFIED,California,629490,20354,287082000,83271000,166407000,37404000,273472000,14104,4091,8176,1838
FAYETTE COUNTY,Georgia,1302130,20088,231922000,125875000,97280000,8767000,232136000,11545,6266,4843,436
SHELBY COUNTY,Alabama,103030,20064,207108000,88061000,107556000,11491000,204630000,10322,4389,5361,573
BELLEVUE SCHOOL DISTRICT,Washington,5300390,20047,339568000,183306000,146009000,10253000,383022000,16939,9144,7283,511
NORTH KANSAS CITY 74,Missouri,2922800,19997,255814000,174391000,66965000,14458000,240476000,12793,8721,3349,723
